token,Eigenportfolio 2
1INCH,0.14938318919235186
AAVE,0.2168725586953073
ALCX,0.021995588238069685
ALPHA,0.0576772042080623
AMPL,0.0035764065026204755
ASD,0.007445744402268638
AUDIO,0.054903516454986666
AXS,0.13536793423591306
BADGER,0.0037849828022036443
BAL,0.028190814729741914
BAND,0.060801780622332664
BAT,0.13278813466013573
BCH,0.16448719474493212
BIT,0.02305277165502315
BNB,0.15975924270878553
BTC,0.11569028057368155
BTT,0.00023521260729252757
CEL,0.07377312067819237
CHZ,0.19759106615100372
CLV,0.05093491463216483
COMP,0.16925947738232947
CREAM,0.00015493316578593584
CRV,0.2092876369609459
DAWN,-0.03697447577458371
DENT,0.03326045480784346
DODO,-0.000630063578337395
DOGE,0.17387803323588585
ETH,0.047498173074079296
FIDA,-0.008177491489477188
FTM,0.2603890715654465
FTT,0.14869064685770098
FXS,0.014958624493186343
GRT,0.21178925503483684
HNT,0.1338048937950716
HOLY,0.00017870339120505186
HT,0.11468560277997172
IMX,0.008129018622835828
KNC,0.024227159073692592
LEO,-0.0036217888597131543
LINA,-0.0001902024379473208
LINK,0.20565729385083056
LOOKS,-0.0014209639606756676
LRC,0.09649239419425858
LTC,0.17466793965690655
MAPS,0.004213728391959937
MATIC,0.22992753508695177
MKR,0.16499188954921232
OKB,0.09797450339266067
OMG,0.128587740798716
OXY,0.033344852593895434
PAXG,0.0012196386096306722
PERP,0.03637794829714824
PUNDIX,0.023070753122868205
RAY,0.04408831590288247
REN,0.10223180164849159
RNDR,-0.0044959284195938
RSR,0.11438482495169415
SHIB,0.1586504727563009
SKL,0.011372302768998711
SLP,-0.030406594040531778
SNX,0.21700322182152762
SOL,0.20376823742925407
SPELL,0.04681237903479558
SRM,0.07659003984147533
STEP,0.010447041044823491
STORJ,-0.01084716727676138
SUSHI,0.17952739453181996
SXP,0.04530554476508971
TOMO,0.01748269969557368
TRU,-0.03941878711284465
TRX,0.13550983707237305
TRYB,-0.0010539336016844754
UNI,0.20326730347274125
WAVES,0.10465496633829856
XAUT,6.962053229729665e-05
XRP,0.16790789893114472
YFI,0.1434330072328693
YFII,0.0063288609681361584
