token,Eigenportfolio 1
1INCH,-0.03458916870764628
AAVE,-0.019641881483413615
ALCX,0.0481435355863169
ALPHA,-0.012818505786589579
AMPL,0.023917110955667613
ASD,0.0010887708202514902
AUDIO,0.029280216093248743
AXS,0.03458708888731822
BADGER,-0.04114576256830743
BAL,-0.04353988387072827
BAND,0.04676309636535674
BAT,-0.027180697961198045
BCH,-0.01592143055020675
BIT,0.013543672310071739
BNB,-0.0156406944945918
BTC,-0.010433086456428344
BTT,0.001456596040364383
CEL,-0.015716196173181953
CHZ,-0.025499198637252106
CLV,0.4485013506267373
COMP,-0.01340635684112577
CREAM,-0.006567061620945656
CRV,-0.014853850453111602
DAWN,-0.32075693836933483
DENT,0.05525858670212506
DODO,-0.014808238661989546
DOGE,-0.019871802910754303
ETH,0.0068715269870108205
FIDA,-0.11711451075939322
FTM,-0.01100590402735629
FTT,-0.014007012831051381
FXS,-0.003301919754066326
GRT,-0.016529886192524663
HNT,-0.061456002501120426
HOLY,0.002110470555510481
HT,-0.01042481675967856
IMX,0.16595215260256868
KNC,0.2123799804879985
LEO,-0.005571295458838422
LINA,-0.01420503476154044
LINK,-0.01790751176656572
LOOKS,-0.2187706130798754
LRC,-0.006642475388934519
LTC,-0.015518703244038194
MAPS,0.009268889288265181
MATIC,-0.02491529820951883
MKR,-0.020447369141888504
OKB,-0.03429818354000133
OMG,-0.0014596477387767669
OXY,0.22229364052445127
PAXG,0.0023534664450885366
PERP,-0.04874656073739279
PUNDIX,0.236756001794699
RAY,0.07258693676784687
REN,-0.12762720555269436
RNDR,0.01637382557744339
RSR,-0.012583863986144892
SHIB,-0.03445763512561402
SKL,-0.005745911754336721
SLP,-0.1250266811334602
SNX,-0.019400430089678965
SOL,-0.021001847715051057
SPELL,0.5129135989269437
SRM,0.04067581698610632
STEP,0.10542179651740516
STORJ,-0.06561305880200023
SUSHI,-0.027345294820820706
SXP,0.0976205739413387
TOMO,-0.05746352164105819
TRU,-0.2986213597828125
TRX,-0.012340243249309771
TRYB,-0.011842077534323965
UNI,-0.01926944247263036
WAVES,-0.0005607416374957511
XAUT,0.0002514258749690317
XRP,-0.01647081554368831
YFI,-0.013260522319988038
YFII,0.05941859660241965
